,dhs_id,site_id,site_name,latitude,longitude,rural_urban,country,country_id,continent_id,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,positive,pr,species,method,rdt_type,pcr_type,malaria_metrics_available,location_available,permissions_info,citation1,citation2,citation3
47,,7119,Chinangali school,-6.1333,36.1,URBAN,Tanzania,TZA,Africa,3,2001,3,2001,6,15,200,23,0.115,P. falciparum,Microscopy,,,true,true,,"Mboera, L.E.G., Kadete, L., Nyange, A. and Molteni, F. (2006).  <b>Urban malaria in Dodoma and Iringa, Tanzania.</b> <i>Tanzania Health Research Bulletin</i>, <b>8</b>(2):115-118","Molteni, F, . (2006) personal communication.",
49,,18316,Elhuda,14.5466,32.9233,RURAL,Sudan,SDN,Africa,1,1999,1,1999,0,99,100,2,0.02,P. falciparum,Microscopy,,,true,true,, (1999). <i>Not found in the legacy system.</i> . . Ministre de la Santé Publique - Sanitaire de la Tandjile. ,,
54,,8231,Ulutya Primary School,-0.9724,37.6902,RURAL,Kenya,KEN,Africa,10,2009,10,2009,5,17,109,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
56,,12357,Ceelqoxle,4.8489,46.521,UNKNOWN,Somalia,SOM,Africa,11,2008,11,2008,0,99,104,4,0.0385,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
60,,12008,Chikumbililo,-10.9331,39.6127,UNKNOWN,Tanzania,TZA,Africa,7,2004,8,2004,0,14,48,44,0.9167,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Schellenberg, D.M., . (2006) personal communication.",,
63,,16337,Marromeu - Sede (Cluster 225),-18.2748,35.8988,RURAL,Mozambique,MOZ,Africa,3,2002,3,2002,0,10,87,41,0.4713,P. falciparum,Microscopy,,,true,true,,"Mabunda, S., Casimiro, S., Quinto, L. and Alonso, P. (2008).  <b>A country-wide malaria survey in Mozambique. I. <i>Plasmodium falciparum</i> infection in children in different epidemiological settings.</b> <i>Malaria Journal</i>, <b>7</b>():216","Mabunda, S., . (2009) personal communication.",
64,,7963,Cluster 720431,-3.2116,30.1217,UNKNOWN,Burundi,BDI,Africa,5,2005,5,2005,1,99,6,3,0.5,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
73,,6973,Ouallah I,-12.341,43.671,UNKNOWN,Comoros,COM,Africa,6,2006,6,2006,0,99,50,25,0.5,P. falciparum,Microscopy,,,true,true,,"Li, G., . (2009) personal communication.",,
74,,4593,Mituuli,0.523,30.2832,UNKNOWN,Uganda,UGA,Africa,7,1992,7,1992,0,99,50,6.15,0.123,P. falciparum,Microscopy,,,true,true,, (1992). <i>Not found in the legacy system.</i> . . ,,
77,,22331,Cluster 12,-3.8442,39.7527,UNKNOWN,Kenya,KEN,Africa,5,2009,5,2009,0.6,8,11,2,0.1818,P. falciparum,Microscopy,,,true,true,,", Kilifi. (2009) personal communication.",,
78,,4763,Muyuyu,-7.555,39.0455,RURAL,Tanzania,TZA,Africa,6,2006,6,2006,0,4,50,6,0.12,P. falciparum,RDT,Unknown,,true,true,,"Molteni, F., . (2006) personal communication.",,
88,,17885,Stadium,9.5719,44.0803,URBAN,Somalia,SOM,Africa,9,2007,9,2007,0,99,100,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
89,,7877,Mapea,-3.9958,35.7624,RURAL,Tanzania,TZA,Africa,6,2006,6,2006,0,4,50,0,0,P. falciparum,RDT,Unknown,,true,true,,"Molteni, F., . (2006) personal communication.",,
90,,16507,Langata Road Primary School,-1.3149,36.8112,URBAN,Kenya,KEN,Africa,7,2009,7,2009,4,15,93,2,0.0215,P. falciparum,RDT,Unknown,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
92,,7961,Galad,4.0226,46.618,UNKNOWN,Somalia,SOM,Africa,11,2009,11,2009,1,80,100,1,0.01,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
93,,11018,Cabdale-K,1.8909,44.7295,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,19,0,0,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
95,,4281,Ngozi TA  EA 014,-15.4371,34.6611,UNKNOWN,Malawi,MWI,Africa,5,2006,5,2006,0.5,3,8,8,1,P. falciparum,Microscopy,,,true,true,,"Mathanga, D.P. (2007). <i>Anemia Parasitemia Survey.</i> . Blantyre. Malaria Alert Centre. 1-52",,
98,,7289,Morafur,4.024,43.9907,UNKNOWN,Somalia,SOM,Africa,11,2007,11,2007,7,57,29,5,0.1724,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
99,,13441,Leyfoure,10.5429,-12.6133,RURAL,Guinea,GIN,Africa,10,1998,12,1998,0,99,195,72,0.3692,P. falciparum,Microscopy,,,true,true,,"Baldé, M.C., Camara, M., Barry, A.O., Sow, S., Sidibé, C.T., Lamah, O., Lodi, O.E., Camara, S.K., Condé, N. and Bah, H. (2001).  <b>Malaria prevalence survey in 24 Guinean villages in the Kindia area.</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>94</b>(2 Pt 2):192-4",,
102,,1063,Maumu,0.3055,33.5029,UNKNOWN,Uganda,UGA,Africa,8,1993,8,1993,1,13,11,5,0.4545,P. falciparum,Microscopy,,,true,true,,"Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ",,
108,,4231,Rarieda Primary School,-0.1953,34.3398,RURAL,Kenya,KEN,Africa,11,2009,11,2009,5,17,110,48,0.4364,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
111,,20713,Namadzi - Sede (Cluster 217),-18.4282,33.9568,RURAL,Mozambique,MOZ,Africa,6,2007,7,2007,0,4,9,7,0.7778,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
117,,10774,Daayow,4.3707,45.3745,RURAL,Somalia,SOM,Africa,6,2008,7,2008,0,99,99,1,0.0101,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
120,,13900,Akarana,15.933,5.568,RURAL,Niger,NER,Africa,9,1992,9,1992,0,9,62,41,0.6613,P. falciparum,Microscopy,,,true,true,,"Boureima, S.H. (1995).  <b>Sondages paludométriques dans les différentes zones épidemiologiques au Niger en période de saison des pluies.</b> <i>Malaria and Infectious Diseases in Africa</i>, <b>2</b>():12-15",,
124,,17187,R/Omanie,7.2086,47.4407,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,98,2,0.0204,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
127,,16953,Kilifi Township,-3.6154,39.8448,URBAN,Kenya,KEN,Africa,3,1995,3,1995,0,4,168,107,0.6369,P. falciparum,Microscopy,,,true,true,,"Marsh, K., . (1995) personal communication.",,
129,,1822,Xawaal Shawalde,11.0086,48.3221,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,17,0,0,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
132,,11423,Buulokara,2.1617,45.1706,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,23,14,0.6087,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
135,,5028,Elgof,3.2,43.165,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,98,12,0.1224,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
139,,13674,Komolo,0.0892,34.279,RURAL,Kenya,KEN,Africa,7,1995,7,1995,0,9,133,111,0.8346,P. falciparum,Microscopy,,,true,true,,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",
142,,7780,Kinze B & C,-1.9391,37.526,UNKNOWN,Kenya,KEN,Africa,8,2000,8,2004,0.1,4,27,1,0.037,P. falciparum,RDT,Unknown,,true,true,,"Marsh, V.M. and Abuya, T., . (2004) personal communication.",,
147,,10320,Langano,7.516,38.778,UNKNOWN,Ethiopia,ETH,Africa,4,2003,4,2003,4,14,89,0,0,P. falciparum,Microscopy,,,true,true,,"Legesse, M. and Erko, B. (2004).  <b>Prevalence of intestinal parasites among school children in a rural area close to the southeast of Lake Langano, Ethiopia.</b> <i>Ethiopian Journal of Health Development</i>, <b>18</b>(2):116-120",,
148,,13451,Badjique,12.083,-15.834,RURAL,Guinea-Bissau,GNB,Africa,10,1990,10,1990,0,99,83,31,0.3735,P. falciparum,Microscopy,,,true,true,,"Jaenson, T.G., Gomes, M.J., Barreto dos Santos, R.C., Petrarca, V., Fortini, D., Evora, J. and Crato, J. (1994).  <b>Control of endophagic <i>Anopheles</i> mosquitoes and human malaria in Guinea Bissau, West Africa by permethrin-treated bed nets.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>88</b>(6):620-4",,
151,,13227,Memni,5.505,-3.751,RURAL,Côte d'Ivoire,CIV,Africa,3,1993,5,1993,4,15,529,286,0.5406,P. falciparum,Microscopy,,,true,true,, (1994). <i>Memni-Montezo: un observatoire du paludisme en zone rurale de Côte d'Ivoire. Résultats de L'étude de Faisabilité.</i> . Abidjan. Institut International de Recherche Scientifique pour le Developpement en Afrique (IIRSDA). 1-26,,
152,,20002,Tome - Sede (Cluster 268),-22.5568,34.2217,RURAL,Mozambique,MOZ,Africa,6,2007,7,2007,1,4,4,3,0.75,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
157,,19518,Cluster 620441,-3.239,30.2256,UNKNOWN,Burundi,BDI,Africa,10,2004,10,2004,1,99,14,8,0.5714,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
158,,1525,St. Paul Buyala,0.5155,33.1375,RURAL,Uganda,UGA,Africa,7,2006,8,2006,2,15,66,35,0.5303,P. falciparum,Microscopy,,,true,true,,"Kabatereine, N, . (2006) personal communication.","Brooker, S, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b>Epidemiology of <i>Plasmodium</i>-helminth coinfection in contrasting transmission settings across East Africa. Journal of Infectious Diseases (in press).</b> <i>UNKNOWN</i>, <b>0</b>(0):0",
162,,2375,Reydabta,2.8749,43.8907,UNKNOWN,Somalia,SOM,Africa,4,2007,5,2007,0,99,50,1,0.02,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
163,,4865,Maxixine (Cluster 135),-17.6492,37.2702,RURAL,Mozambique,MOZ,Africa,6,2007,7,2007,0,4,6,2,0.3333,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
165,,12914,Nkalo TA  EA 026,-15.9344,35.2739,UNKNOWN,Malawi,MWI,Africa,5,2006,5,2006,0.5,3,9,2,0.2222,P. falciparum,Microscopy,,,true,true,,"Mathanga, D.P. (2007). <i>Anemia Parasitemia Survey.</i> . Blantyre. Malaria Alert Centre. 1-52",,
175,,3633,Cluster 320652,-3.203,30.2456,UNKNOWN,Burundi,BDI,Africa,5,2003,5,2003,1,99,9,2,0.2222,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
178,,8465,Dammi,9.341,44.0446,URBAN,Somalia,SOM,Africa,9,2007,9,2007,0,99,250,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
180,,13602,Emensa sub-location,-0.9119,34.8047,UNKNOWN,Kenya,KEN,Africa,5,2000,5,2000,0,14,72,4,0.0556,P. falciparum,RDT,ICT Malaria Dual Test ML03,,true,true,,"Zurovac, D., . (2000) personal communication.",,
181,,3120,Sowe Kunda,13.5447,-15.3082,UNKNOWN,Gambia,GMB,Africa,10,1996,11,1996,0.5,4,11,3,0.2727,P. falciparum,Microscopy,,,true,true,,"Clarke, S.E., Bøgh, C., Brown, R.C., Pinder, M., Walraven, G.E. and Lindsay, S.W. (2001).  <b>Do untreated bednets protect against malaria?.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>95</b>(5):457-62","Clarke, SE, . (2008) personal communication.",
183,,12652,Mwangoni Primary School,-4.0742,39.1835,UNKNOWN,Kenya,KEN,Africa,9,2008,9,2008,5,15,110,4,0.0364,P. falciparum,RDT,OptiMal-IT,,true,true,,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",,
189,,16142,Chilonga,-18.4,27.1667,UNKNOWN,Zimbabwe,ZWE,Africa,3,1991,4,1991,4,16,107,0,0,P. falciparum,Microscopy,,,true,true,,"Freeman, T.W. and Chandiwana, S.K. (1996).  <b>A retrospective analysis of data from the 1991 national malaria prevalence survey in Zimbabwe.</b> <i>Malaria and Infectious Diseases in Africa</i>, <b>4</b>():19-24", (2010). <b>http://mara-database.org/mara/.</b> . MARA/ARMA.,"Le Sueur, D., Binka, F., Lengeler, C., De Savigny, D., Snow, B., Teuscher, T. and Toure, Y. (1997).  <b>An atlas of malaria in Africa.</b> <i>Africa health</i>, <b>19</b>(2):23-4"
193,,480,Shariani,-3.7897,39.8211,UNKNOWN,Kenya,KEN,Africa,5,1998,5,1998,6,12,100,54,0.54,P. falciparum,Microscopy,,,true,true,,"Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42",,
194,,7503,Cluster 16,-0.799,34.7628,UNKNOWN,Kenya,KEN,Africa,7,2000,7,2000,1,75,120,32,0.2667,P. falciparum,RDT,ICT Diagnostics Malaria P.f. ML01,,true,true,,"Guyatt, H.L., Corlett, S.K., Robinson, T.P., Ochola, S.A. and Snow, R.W. (2002).  <b>Malaria prevention in highland Kenya: indoor residual house-spraying vs. insecticide-treated bednets.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(4):298-303","Snow, RW, . (2002) personal communication.",
196,,2730,Isgaad,2.6155,45.0031,UNKNOWN,Somalia,SOM,Africa,6,2007,6,2007,0,99,58,1,0.0172,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
